,symbol,Z,A,energy_level_keV,half_life_s,spin,magnetic_dipole_moment_J_T,electric_quadrupole_moment_Cm2
5301,U,92,233,40,5e-11,-3.5,2.9799623824099998e-27,1.0253929516800001e-47
5305,U,92,235,0.0,7.0x10*8y,-3.5,-2.32336050154e-27,7.908343139832e-47
5307,U,92,235,46,<60 ps,-4.5,-2.32336050154e-27,2.99607003069e-47
5312,Np,93,237,0.0,2.1x10*6y,-2.5,1.46472727271e-26,6.194014298742e-47
5315,Np,93,237,0.0,6.8e-08,-2.5,9.84902821305e-27,6.16837947495e-47
5320,Pu,94,239,8,3.6e-11,-1.5,1.025309090897e-27,-3.7154472733529996e-47
5321,Pu,94,239,57,1.01e-10,-2.5,1.025309090897e-27,-5.359280349015e-47
5322,Pu,94,239,76,8.3e-11,-3.5,1.025309090897e-27,-6.13633594521e-47
5325,Pu,94,241,0.0,454429440.0,-2.5,-3.449685266417e-27,9.613058922e-47
5332,Am,95,241,0.0,13654973520.0,-2.5,8.131761755390001e-27,6.95344595358e-47
5334,Am,95,242,0.0,57600.0,-1.0,1.9591989968421002e-27,-3.90931062828e-47
5337,Am,95,242,0.0,4796755200.0,-5.0,5.050783699e-27,1.07345824629e-46
5344,Am,95,243,0.0,232579512000.0,-2.5,8.131761755390001e-27,6.92140242384e-47
5353,Es,99,253,0.0,1762559.9999999998,-3.5,2.0708213165899998e-26,1.07345824629e-46
5356,Es,99,254,0.0,141480.0,2.0,1.46472727271e-26,5.9280530019e-47
