,symbol,Z,A,energy_level_keV,half_life_s,spin,magnetic_dipole_moment_J_T,electric_quadrupole_moment_Cm2
4147,Os,76,183,0.0,46800.0,-4.5,-4.0103222570060004e-27,4.9667471097e-47
4148,Os,76,184,120,1.18e-09,2.0,-4.0103222570060004e-27,-4.3258765149e-47
4152,Os,76,186,0.0,8.3e-10,2.0,2.6264075234800002e-27,-2.61154767381e-47
4161,Os,76,188,0.0,7.1e-10,2.0,3.0304702194e-27,-2.3391776710199997e-47
4166,Os,76,188,0.0,6.2999999999999994e-12,2.0,3.93961128522e-27,1.602176487e-47
4170,Os,76,188,2121,1.39e-11,-3.0,-8.586332288300002e-28,2.70767826303e-47
4173,Os,76,189,0.0,inf,-1.5,3.333178838832167e-27,1.37787177882e-47
4176,Os,76,189,0.0,1.63e-09,-2.5,4.990174294612e-27,-1.00937118681e-47
4180,Os,76,190,0.0,3.66e-10,2.0,3.5355485893e-27,-1.89056825466e-47
4186,Os,76,190,0.0,1.25e-11,2.0,3.48504075231e-27,1.2817411896000002e-47
4190,Os,76,191,0.0,1330560.0,-4.5,4.84875235104e-27,4.0054412174999997e-47
4192,Os,76,192,0.0,2.89e-10,2.0,3.99011912221e-27,-1.53808942752e-47
4203,Os,76,193,0.0,109800.0,-1.5,3.93961128522e-27,7.6904471376e-48
4212,Ir,77,182,0.0,900.0,3.0,1.0606645767900001e-26,-2.7237000278999997e-47
4216,Ir,77,183,0.0,3300.0,-2.5,1.11117241378e-26,-2.8839176766e-47
4220,Ir,77,184,0.0,11304.0,-5.0,4.0406269592e-27,3.8612453336700003e-47
4239,Ir,77,186,0.0,59904.0,5.0,1.9091962382219998e-26,-4.0855500418499996e-47
4246,Ir,77,186,0.0,59904.0,-2.0,-3.3335172413400005e-27,2.3391776710199997e-47
4249,Ir,77,187,0.0,37800.0,-1.5,8.586332288300002e-28,1.5076480742669999e-47
4252,Ir,77,187,0.0,1.52e-07,-5.5,3.136536677079e-26,3.7330712147100003e-47
4255,Ir,77,188,0.0,145800.0,-1.0,1.6667586206700002e-27,7.754534197079999e-48
4262,Ir,77,189,0.0,1131840.0,-1.5,6.566018808700001e-28,1.31378471934e-47
4267,Ir,77,190,0.0,1019520.0000000001,4.0,2.0203134796e-28,4.59824651769e-47
4273,Ir,77,191,0.0,inf,-1.5,7.67719122248e-28,1.3073760133919997e-47
4292,Ir,77,192,0.0,6410880.0,-4.0,9.717707836876e-27,3.44467944705e-47
4299,Ir,77,193,0.0,inf,-1.5,8.48531661432e-28,1.203234541737e-47
4316,Ir,77,194,0.0,69840.0,-1.0,1.96980564261e-27,5.43137829093e-48
4332,Pt,78,183,0.0,43.0,-3.5,5.2023072099700004e-27,5.447400055799999e-47
4339,Pt,78,185,0.0,4254.0,-4.5,-4.19215047017e-27,5.97611829651e-47
4350,Pt,78,187,0.0,8460.0,-1.5,-2.17183699057e-27,-1.6342200167400002e-47
4362,Pt,78,189,0.0,39240.0,-1.5,2.12132915358e-27,-1.5220676626499999e-47
4379,Pt,78,191,0.0,250560.0,-1.5,-2.32336050154e-27,-1.3938935436899999e-47
4386,Pt,78,192,0.0,4.37e-11,2.0,2.8789467084299996e-27,9.613058921999999e-48
4402,Pt,78,194,0.0,4.1799999999999994e-11,2.0,3.0304702194e-27,7.6904471376e-48
