nucleus,,energy_level,half_life,,spin,magnetic_dipole_moment,,electric_quadrupole_moment,Recommended
,,,,,,,,+0.47(15),
26 Fe 53,,741,64 ns,,3/2-,-0.386(15),,,
26 Fe 54,,1408,0.80 ps,,2+,+1.70(13),,,
,,,,,,+2.10(12),,,
,,,,,,+2.1(3),,,
,,,,,,+3.4(8),,,
,,,,,,+2.2(4),,,
,,,,,,+2.9(6),,,
,,,,,,,,-0.05(14),R
,,2950,1.22 ns,,6+,8.2(2),,,
,,6527,367 ns,,10+,+7.28(1),,,
,,,,,,,,+0.30(4) st,R
,,,,,,,,0.28(4),
26 Fe 55,,931,8.3 ps,,5/2-,+2.7(12),,,
,,1317,2.1 ps,,7/2-,+2(2),,,
,,1408,38.3 ps,,7/2-,-2.4(5),,,
26 Fe 56,,847,6.9 ps,,2+,1.02(11),,,
,,,,,,1.22(16),,,
,,,,,,,,-0.19(8),
,,,,,,,,-0.23(3),R
26 Fe 57,,0,stable,,1/2-,+0.09044(7),,,
,,,,,,+0.09062300(9),,,
,,,,,,+0.0907638(1),,,
,,14,98 ns,,3/2-,-0.1549(2),,,
,,,,,,,,+0.15(2),
,,,,,,,,0.11,
,,,,,,,,+0.160(8),R
,,,,,,,,0.14(2),
,,,,,,,,+0.082(8) st,
,,,,,,,,+0.209(5),
,,136,8.80 ns,,5/2-,+0.935(10),,,
,,367,6.9 ps,,3/2-,<0.6,,,
26 Fe 58,,811,6.7 ps,,2+,+0.94(5),,,
,,,,,,+0.9(3),,,
,,,,,,+0.9(2),,,
,,,,,,,,-0.27(5),R
26 Fe 59,,0,44.6 d,,3/2-,-0.3358(4),,,
,,,,,,0.29(3),,,
26 Fe 61,,861,245 ns,,(9/2+),-1.031(9),,,
,,,,,,,,0.44(6),
,,,,,,,,0.41(6),
27 Co 55,,0,17.5 h,,7/2-,+4.822(3),,,
27 Co 56,,0,78.8 d,,4+,3.85(1),,,
,,,,,,3.99(6),,,
,,,,,,,,+0.25(9),R
27 Co 57,,0,271 d,,7/2-,+4.720(10),,,
,,,,,,4.719(12),,,
,,,,,,4.78(6),,,
,,,,,,,,+0.54(10),R
,,,,,,,,+0.52(9),
,,1378,19 ps,,3/2-,+3.0(6),,,
27 Co 58,,0,70.8 d,,2+,+4.044(8),,,
,,,,,,+4.040(14),,,
,,,,,,,,+0.23(3),R
,,,,,,,,+0.22(3),
,,53,10.4 s,,4+,+4.184(8),,,
,,111,0.18 ns,,3+,+2.2(4),,,
27 Co 59,,0,stable,,7/2-,+4.627(9),,,
,,,,,,,,+0.42(3),R
,,,,,,,,+0.35(3),
,,,,,,,,+0.41(1),
,,,,,,,,+0.40(4),
,,,,,,,,+0.42(3) st,
,,1292,555 ps,,3/2-,+2.54(12),,,
27 Co 60,,0,5.271 y,,5+,+3.799(8),,,
,,,,,,,,+0.46(6),
,,,,,,,,+0.44(5),
,,59,10.5 m,,2+,+4.40(9),,,
,,,,,,,,+0.3(4),
28 Ni 55,,0,204 ms,,3/2-,-0.98(3),,,
28 Ni 57,,0,36 h,,3/2-,-0.7975(14),,,
,,,,,,0.88(6),,,
28 Ni 58,,1454,0.644 ps,,2+,+0.076(17),,,
,,,,,,-0.1(3),,,
,,,,,,,,-0.10(6),R
28 Ni 59,,339,83 ps,,5/2-,+0.35(15),,,
28 Ni 60,,1332,0.713 ps,,2+,+0.32(6),,,
,,,,,,+0.2(3),,,
,,,,,,,,+0.03(5),
,,,,,,,,-0.10(2),R
28 Ni 61,,0,stable,,3/2-,-0.75002(4),,,
,,,,,,,,+0.162(15) st,R
,,67,5.34 ns,,5/2-,+0.480(6),,,
,,,,,,,,-0.20(3) st,R
,,,,,,,,-0.08(7) st,
28 Ni 62,,1173,1.43 ps,,2+,+0.33(5),,,
,,,,,,+0.68(14),,,
,,,,,,+0.6(2),,,
,,,,,,,,+0.05(12),R
28 Ni 63,,87,1.72 s,,5/2-,+0.752(3),,,
,,1294,9.35 ns,,9/2+,-1.211(13),,,
28 Ni 64,,1346,0.85 ps,,2+,+0.37(6),,,
,,,,,,+0.9(3),,,
,,,,,,,,+0.4(2),R
28 Ni 65,,0,2.520 h,,5/2-,0.69(6),,,
,,1017,26.6 ns,,9/2+,-1.332(14),,,
28 Ni 67,,0,21 s,,1/2-,+0.601(5),,,
,,1007,13 s,,9/2+,0.56(3),,,
29 Cu 57,,0,196 ms,,3/2-,+2.582(7),,,
,,,,,,2.00(5),,,
29 Cu 58,,0,3.2 s,,1+,+0.570(2),,,
,,,,,,+0.479(13),,,
,,,,,,0.46(3),,,
,,,,,,+0.52(8),,,
,,,,,,,,-0.16(3),R
,,,,,,,,-0.15(3),
29 Cu 59,,0,81.5 s,,3/2-,+1.8910(9),,,
,,,,,,+1.910(4),,,
,,,,,,+1.891(9),,,
,,,,,,+1.84(3),,,
,,,,,,,,-0.20(2),R
,,,,,,,,-0.19(2),
29 Cu 60,,0,23.4 m,,2+,+1.2186(5),,,
,,,,,,+1.219(3),,,
,,,,,,,,+0.121(13),R
,,,,,,,,+0.116(12),
29 Cu 61,,0,3.41 h,,3/2-,+2.1083(5),,,
,,,,,,+2.1089(11),,,
,,,,,,+2.14(4),,,
,,,,,,,,-0.221(10),R
,,,,,,,,-0.211(10),
,,,,,,,,-0.21(2),
29 Cu 62,,0,9.73 m,,1+,-0.3796(4),,,
,,,,,,-0.3809(12),,,
,,,,,,-0.380(4),,,
,,,,,,,,-0.022(4),R
,,,,,,,,0.00(2),
,,41,4.77 ns,,2+,+1.10(10),,,
,,,,,,+1.32(3),,,
,,390,11.1 ns,,4+,+2.67(16),,,
29 Cu 63,,0,stable,,3/2-,+2.2236(4),,,
,,,,,,2.227206(3),,,
,,,,,,2.2273456(14),,,
,,,,,,,,-0.211(4),
,,,,,,,,-0.211(4) st,
,,,,,,,,0.220(15) a,R
,,4498,4.08 ns,,17/2+,+1.56(10),,,
29 Cu 64,,0,12.7 h,,1+,-0.2164(4),,,
,,,,,,-0.217(2),,,
,,,,,,,,+0.75(9),R
,,,,,,,,+0.072(9),
,,1594,20.4 ns,,6-,+1.06(3),,,
29 Cu 65,,0,stable,,3/2-,+2.3817(3),,,
,,,,,,2.3816(2),,,
,,,,,,,,-0.204(14),
,,,,,,,,-0.195(4) st,
,,1115,0.29 ps,,5/2-,+4.5(9),,,
29 Cu 66,,0,5.1 m,,1+,-0.2823(8),,,
,,,,,,-0.282(2),,,
,,,,,,,,+0.059(14),R
,,,,,,,,+0.056(13),
,,1154,0.60 s,,6-,+1.038(3),,,
,,,,,,,,+0.195(13),R
,,,,,,,,0.186(12),
29 Cu 67,,0,61.83 h,,3/2-,+2.5142(6),,,
,,,,,,+2.54(2),,,
,,,,,,,,-0.182(8),R
,,,,,,,,-0.174(8),
29 Cu 68,,0,31.1 s,,1+,+2.3933(6),,,
,,,,,,+2.6(3),,,
,,,,,,,,-0.086(14),R
,,,,,,,,-0.082(13),
,,637,3.75 m,,6-,+1.1548(6),,,
,,,,,,+1.3(6),,,
,,,,,,,,-0.46(2),R
,,,,,,,,-0.44(2),
29 Cu 69,,0,2.85 m,,3/2-,+2.8383(10),,,
,,,,,,+2.84(1),,,
,,,,,,,,-0.154(17),R
,,,,,,,,-0.147(16),
,,2714,0.36 s,,13/2+,1.46(16),,,
29 Cu 70,,0,44.5 s,,6-,+1.3666(5),,,
,,,,,,+1.3(5),,,
,,,,,,,,-0.298(15),R
,,,,,,,,-0.285(14),
,,101,33 s,,3-,-3.3641(15),,,
,,,,,,-3.5(4),,,
,,,,,,,,-0.14(4),R
,,,,,,,,-0.13(4),
,,242,6.6 s,,1+,+1.7779(15),,,
,,,,,,+1.9(2),,,
,,,,,,,,-0.12(3),R
29 Cu 71,,0,19.5 s,,3/2-,+2.2747(8),,,
,,,,,,+2.28(1),,,
,,,,,,,,-0.200(17),R
,,,,,,,,-0.190(16),
29 Cu 72,,0,6.62 s,,2-,-1.3472(10),,,R
,,,,,,,,+0.08(2),R
29 Cu 73,,0,4.2 s,,3/2-,+1.7426(8),,,
,,,,,,,,-0.210(10),R
,,,,,,,,-0.200(10),
29 Cu 74,,0,1.63 s,,2-,-1.068(3),,,R
,,,,,,,,+0.27(3),R
,,,,,,,,+0.26(3),
29 Cu 75,,0,1.22 s,,5/2-,+1.0062(13),,,
,,,,,,+0.99(5),,,
,,,,,,,,-0.281(17),R
,,,,,,,,-0.269(16),
29 Cu 76,,0,641 ms,,(6-),0.0(4),,,
29 Cu 77,,0,467 ms,,5/2-,+1.61(5),,,
30 Zn 62,,954,2.9 ps,,2+,+0.7(2),,,
30 Zn 63,,0,38.1 m,,3/2-,-0.28164(5),,,
,,,,,,,,+0.29(3),R
30 Zn 64,,992,1.85 ps,,2+,+0.89(6),,,
,,,,,,+0.89(9),,,
,,,,,,+0.9(2),,,
,,,,,,,,-0.124(12),
,,,,,,,,-0.14(2),R
,,,,,,,,-0.32(6) or -0.26(6),
,,2307,0.78 ps,,4+,+2.1(6),,,
,,2999,0.15 ps,,3+,+1.5(9),,,
,,4635,0.1 ns,,7-,1.6(3),,,
30 Zn 65,,0,244.1 d,,5/2-,+0.7690(2),,,
,,,,,,,,-0.023(2),R
,,,,,,,,-0.3(2),
,,115,0.45 ns,,3/2-,-0.8(2),,,
,,207,0.15 ns,,3/2-,+0.7(3),,,
,,1066,574 ps,,9/2+,1.1(2),,,
,,,,,,-1.7(5),,,
30 Zn 66,,1039,1.56 ps,,2+,+1.06(10),,,
,,,,,,+0.80(8),,,
,,,,,,+0.9(2),,,
,,,,,,,,-0.081(13),R
,,2451,0.76 ps,,4+,+2.6(8),,,
,,2826,0.18 ps,,3-,+2.1(9),,,
,,4074,30 ps,,6-,0.9(2) h,,,
,,4250,133 ps,,7-,1.0(2) h,,,
30 Zn 67,,0,stable,,5/2-,+0.875479(9),,,
,,,,,,+0.8752049(11),,,
,,,,,,,,+0.150(15),R
,,93,9.2 s,,1/2-,+0.587(11),,,
,,185,1.03 ns,,3/2-,+0.50(6),,,
,,604,333 ns,,9/2+,-1.097(9),,,
,,,,,,,,0.54(5),R
30 Zn 68,,1077,1.61 ps,,2+,+1.08(6),,,
,,,,,,+1.07(12),,,
,,,,,,+1.16(12),,,
,,,,,,+1.10(8),,,
,,,,,,+0.87(9),,,
,,,,,,+0.9(3),,,
,,,,,,,,-0.106(16),R
,,1883,1.0 ps,,2+,+1.1(2),,,
,,,,,,+1.2(6),,,
,,,,,,+1.0(3),,,
,,,,,,+1.1(3),,,
,,2417,0.79 ps,,4+,+0.6(6),,,
,,,,,,+2.4(12),,,
,,,,,,-1.2(12),,,
,,,,,,-1.6(8),,,
,,2750,0.26 ps,,3-,+1.2(16),,,
,,,,,,+0.9(12),,,
,,,,,,+1.2(9),,,
30 Zn 69,,439,13.72 h,,9/2+,1.157(2),,,
,,,,,,,,-0.45(7),R
,,,,,,,,-0.51(5),
30 Zn 70,,885,3.2 ps,,2+,+0.76(4),,,
,,,,,,+0.76(8),,,
,,,,,,+0.60(14),,,
,,,,,,,,-0.23(2),
,,,,,,,,-0.24(3),R
,,1759,1.9 ps,,2+,+1.0(4),,,
,,1786,1.9 ps,,4+,1.5(6),,,
30 Zn 71,,158,3.94 h,,9/2+,1.052(6),,,
30 Zn 72,,653,20 ps,,2+,+0.36(34),,,
31 Ga 63,,0,32.4 s,,3/2-,+0.1469(5),,,
,,,,,,,,+0.212(4),R
31 Ga 66,,66,23 ns,,2+,1.01(2),,,
,,1464,57 ns,,7-,0.90(2),,,
,,,,,,+0.89(2),,,
,,,,,,,,0.78(4),R
,,3043,0.208 ns,,9+,4.2(9),,,
31 Ga 67,,0,78.3 h,,3/2-,+1.8507(3),,,
,,,,,,+1.848(5),,,
,,,,,,,,+0.197(2),R
,,,,,,,,0.195(5) st,
,,,,,,,,+0.198(16),
,,359,49 ps,,5/2-,1.4(7),,,
,,3578,0.16 ns,,15/2+,-1.7(5),,,
31 Ga 68,,0,68.1 m,,1+,0.01175(5),,,
,,,,,,,,-0.0277(14),R
,,1230,64 ns,,7-,+0.74(2),,,
,,,,,,+0.72(2),,,
,,,,,,,,+0.72(2),R
31 Ga 69,,0,stable,,3/2-,+2.01659(5),,,
,,,,,,+2.018(4),,,
,,,,,,,,+0.171(2),R
,,,,,,,,+0.171(11),
,,,,,,,,+0.1650(8) a,
,,,,,,,,+0.173(3) a,
,,,,,,,,+0.168(5) st,
,,,,,,,,0.17(3) st,
31 Ga 70,,0,21.1 m,,1+,+0.571(2),,,
,,,,,,,,+0.105(7),R
,,879,22.7 ns,,4-,-0.26(10),,,
31 Ga 71,,0,stable,,3/2-,+2.56227(2),,,
,,,,,,,,+0.107(1),R
,,,,,,,,+0.1040(8),
,,,,,,,,+0.109(2),
,,,,,,,,+0.106(3) st,
,,,,,,,,0.10(2) st,
31 Ga 72,,0,14.1 h,,3-,-0.134(4),,,
,,,,,,-0.13224(2),,,
,,,,,,,,+0.530(6),R
,,,,,,,,+0.54(3),
,,,,,,,,+0.52(1) st,
31 Ga 73,,0,4.86 h,,3/2-,+0.209(2),,,
31 Ga 74,,0,8.12 m,,if 3-,0.00(8),,,
,,,,,if 4-,0.00(8),,,
,,,,,3-,,,+0.55(4),R
,,,,,if 4-,,,+0.60(4),
31 Ga 75,,0,126 s,,3/2-,+1.836(4),,,
,,,,,,,,-0.285(17),R
31 Ga 76,,0,32.6 s,,(2+),-0.946(4),,,
,,,,,,,,+0.33(2),R
31 Ga 77,,0,13.2 s,,3/2-,+2.020(3),,,
,,,,,,,,-0.208(13),R
31 Ga 78,,0,5.1 s,,(2+),-1.215(5),,,
,,,,,,,,+0.33(2),R
31 Ga 79,,0,2.85 s,,3/2-,+1.047(3),,,
,,,,,,,,+0.158(10),R
31 Ga 80,,0?,0.2 - 1.7 s,,(3-),-1.425(5),,,
,,,,,,,,+0.38(2),R
,,0?,0.2 - 1.7 s,,(6-),+0.036(4),,,
,,,,,,,,+0.48(3),R
31 Ga 81,,0,1.22 s,,5/2-,+1.747(5),,,
,,,,,,,,-0.048(8),R
32 Ge 67,,752,146 ns,,9/2+,-0.849(12),,,
,,,,,,,,0.92(9),R
32 Ge 68,,1016,2.9 ps,,2+,+1.1(3),,,
,,3696,0.48 ps,,6+,+2.4#,,,
,,3883,132 ps,,6-,0.53(11),,,
,,4054,118 ps,,7-,0.78(12),,,
,,4838,1.04 ps,,8+,+0.8(3),,,
,,5050,0.49 ps,,8+,-2.2(11),,,
32 Ge 69,,0,39.0 h,,5/2-,0.735(7),,,
,,,,,,,,+0.027(6),R
,,,,,,,,0.024(5) st,
,,398,2.8 s,,9/2+,-1.001(3),,,
,,,,,,,,0.75(8),R
32 Ge 70,,1039,1.32 ps,,2+,+0.88(8),,,
,,,,,,+0.84(8),,,
,,,,,,+0.9(2),,,
,,,,,,+0.94(5),,,
,,,,,,+0.8(2),,,
,,,,,,+0.7(2),,,
,,,,,,+0.9(2),,,
,,,,,,,,+0.03(6) or +0.09(6),R
,,1707,1.8 ps,,2+,+1.3(6),,,
,,,,,,+0.8(12),,,
,,2153,1.2 ps,,4+,+0.9(14),,,
,,,,,,+2.0(8),,,
,,2562,0.6 ps,,3-,+0.3(9),,,
32 Ge 71,,0,11.2 d,,1/2-,+0.547(5),,,
,,175,79 ns,,5/2-,+1.018(10),,,
,,199,20.2 ms,,9/2+,-1.0413(7),,,
,,,,,,,,0.34(5),R
32 Ge 72,,834,3.29 ps,,2+,+0.88(4),,,
,,,,,,+0.80(7),,,
,,,,,,+0.74(9),,,
,,,,,,+0.7(2),,,
,,,,,,,,-0.13(6),R
,,1464,4.5 ps,,2+,+0.8(4),,,
,,1728,1.55 ps,,4+,+1.6(5),,,
32 Ge 73,,0,stable,,9/2+,-0.8794677(2),,,
,,,,,,,,-0.196(1),R
,,,,,,,,-0.17(3),
,,13,2.86 s,,5/2+,1.08(3),,,
,,,,,,-0.94(3),,,
,,,,,,,,0.70(8),
,,,,,,,,-0.4(3),
32 Ge 74,,596,12.5 ps,,2+,+0.70(2),,,
,,,,,,+0.87(4),,,
,,,,,,+0.70(5),,,
,,,,,,+0.7(2),,,
,,,,,,,,-0.19(2),R
,,,,,,,,-0.25(6),
,,1204,4.9 ps,,2+,+0.9(2),,,
,,,,,,+0.8(2),,,
,,,,,,,,0.26(6),R
,,1464,1.53 ps,,4+,+1.6(5),,,
32 Ge 75,,0,82.8 m,,1/2-,+0.510(5),,,
32 Ge 76,,563,18.6 ps,,2+,+0.64(2),,,
,,,,,,+0.84(5),,,
,,,,,,+0.67(8),,,
,,,,,,+0.56(12),,,
,,,,,,,,-0.19(6),R
,,1108,8.0 ps,,2+,+0.78(10),,,
,,1410,1.8 ps,,4+,+1.0(7),,,
33 As 68,,2159,37 ns,,"(7,8)-",|g|=0.23(2),,,
33 As 69,,0,15.2 m,,5/2-,+1.623(2),,,
,,,,,,1.2(2),,,
,,1307,1.35 ns,,9/2+,+4.7(6),,,
,,,,,,+6(2),,,
33 As 70,,0,53 m,,4+,+2.1061(2),,,
,,,,,,,,+0.09(2),R
,,888,5.34.ns,,7-,0.75(5),,,
33 As 71,,0,65.3 h,,5/2-,+1.674(2),,,
,,,,,,1.64(4),,,
,,,,,,,,-0.021(6)),R
,,1001,19.8 ns,,9/2+,+5.15(9),,,
33 As 72,,0,26 h,,2-,-2.1566(3),,,
,,,,,,,,-0.08(2),R
,,214,85 ns,,3+,+1.58(2),,,
,,561,87 ns,,(6-),-0.696(12),,,
33 As 73,,66,5.0 ns,,5/2-,+1.63(10),,,
,,,,,,,,0.356(12),R
,,428,5.6 s,,9/2+,+5.234(14),,,
33 As 74,,0,17.8 d,,2-,-1.597(3),,,
,,259,26.8 ns,,(4)+,+3.24(4),,,
33 As 75,,0,stable,,3/2-,+1.43948(7),,,
,,,,,,,,0.314(6),R
,,,,,,,,+0.30(5),
,,265,11.9 ps,,3/2-,+1.0(2),,,
,,280,273 ps,,5/2-,+0.92(2),,,
,,,,,,+0.81(8),,,
33 As 76,,0,26.3 h,,2-,-0.9028(10),,,
,,,,,,-0.906(5),,,
,,,,,,,,7(8),
,,46,1.80 s,,(1)+,+0.559(5),,,
33 As 77,,0,38.8 h,,3/2-,+1.2946(13),,,
,,264,304 ps,,5/2-,+0.74(2),,,
,,,,,,+0.83(7),,,
,,476,116 s,,9/2+,+5.525(9),,,
,,632,60 ps,,5/2+,+2.5(4),,,
34 Se 70,,945,1.5 ps,,2+,,,prolate shape,
34 Se 73,,0,7.1 h,,9/2+,0.892(13),,,
,,,,,,0.87(5),,,
,,,,,,0.85(7),,,
34 Se 74,,635,7.08 ps,,2+,+0.86(5),,,
,,,,,,,,-0.36(7),R
,,1269,4.0 ps,,2+,1.1(2),,,
,,1363,1.86 ps,,4+,2.0(4),,,
34 Se 75,,0,118.5 d,,5/2+,0.683(10),,,
,,,,,,0.67(4),,,
,,,,,,,,1.1(2),R
,,,,,,,,Q/Q(79Se(gs))=1.2578(6),
34 Se 76,,559,12.3 ps,,2+,+0.80(5),,,
,,,,,,+0.8(2),,,
,,,,,,+0.8(2),,,
,,,,,,,,-0.34(7),R
,,,,,,,,-0.30(5),
,,1216,3.4 ps,,2+,0.70(12),,,
,,1332,1.52 ps,,4+,2.6(4),,,
34 Se 77,,0,stable,,1/2-,+0.5350422(6),,,
,,,,,,0.5350743(3),,,
,,250,9.56 ns,,5/2-,+1.12(3),,,
,,,,,,,,+0.76(5),
,,439,24 ps,,5/2-,+1.0(3),,,
34 Se 78,,614,8.6 ps,,2+,+0.77(5),,,
,,,,,,+0.8(2),,,
,,,,,,,,-0.26(9),R
,,,,,,,,-0.30(11),
,,1308,4.2 ps,,2+,0.7(2),,,
,,1503,1.05 ps,,4+,1.6(5),,,
34 Se 79,,0,<6.5x104 y,,7/2+,-1.018(15),,,
,,,,,,,,+0.8(2),R
34 Se 80,,666,8.0 ps,,2+,+0.87(5),,,
,,,,,,+0.8(3),,,
,,,,,,,,-0.31(7),R
,,,,,,,,-0.35(12),
,,1449,1.95 ps,,2+,0.7(2),,,
,,1701,0.66 ps,,4+,2.7(10),,,
34 Se 82,,654,11.3 ps,,2+,+0.99(6),,,
,,,,,,+0.9(3),,,
,,,,,,,,-0.22(7),R
,,1735,0.96 ps,,4+,2.3(15),,,
35 Br 72,,0,79 s,,(3+),0.60(10),,,
,,101,10.1 s,,(1-),>0.7,,,
35 Br 73,,241,34.7 ns,,3/2-,1.97(13),,,
35 Br 74,,14,46 m,,4+,1.68(18),,,
,,,,,,1.820(12),,,
35 Br 75,,0,97 m,,3/2-,0.76(18),,,
,,,,,,positive,,,
35 Br 76,,0,16.1 h,,1-,0.54821(2),,,
,,,,,,,,0.255 (4),
35 Br 77,,0,57 h,,3/2-,0.92(5),,,
,,,,,,0.9731(6),,,
,,,,,,0.9738(5),,,
,,,,,,,,+0.51(2),R
,,,,,,,,+0.53(2),
,,130,9.3 ns,,5/2+,+3.30(3),,,
35 Br 78,,0,6.46 m,,1+,0.13(3),,,
,,32,14.2 ns,,(2)-,-1.12(4),,,
,,181,119 s,,4+,+4.114(12),,,
35 Br 79,,0,stable,,3/2-,+2.106400(4),,,
,,,,,,,,+0.313(3),R
,,,,,,,,0.318(5),
,,,,,,,,+0.305(5) st,
,,,,,,,,+0.331(4) st,
,,217,47 ps,,5/2-,1.0(3),,,
,,523,1.91 ps,,5/2-,2.8(8),,,
,,761,1.50 ps,,7/2-,1.9(3),,,
35 Br 80,,0,17.6 m,,1+,0.5140(6),,,
,,,,,,,,+0.185(3),R
,,,,,,,,+0.181(4) st,
,,,,,,,,+0.196(3) st,
,,,,,,,,0.199(8),
,,37,7.4 ns,,2-,-1.67(12),,,
,,,,,,,,0.164(6),R
,,,,,,,,0.159(7) st,
,,,,,,,,0.173(6) st,
,,86,4.42 h,,5-,+1.3177(6),,,
,,,,,,,,+0.710(10),R
,,,,,,,,+0.69(2) st,
,,,,,,,,+0.751(10) st,
35 Br 81,,0,stable,,3/2-,+2.270562(4),,,
,,,,,,,,+0.262(3),R
,,,,,,,,0.266(4),
,,,,,,,,+0.254(6) st,
,,,,,,,,+0.276(4) st,
,,276,9.7 ps,,5/2-,1.6(5),,,
,,536,37 s,,9/2+,5.70(5),,,
,,767,0.54 ps,,5/2-,1.0(4),,,
,,837,1.0 ps,,7/2-,1.4(4),,,
35 Br 82,,0,35.3 h,,5-,+1.6270(5),,,
,,,,,,,,+0.707(10),R
,,,,,,,,+0.69(2) st,
,,,,,,,,+0.748(10) st,
35 Br 84,,0,31.8 m,,2-,1.9(7),,,
36 Kr 75,,0,4.3 m,,5/2+,-0.531(4) d,,,
,,,,,,,,+1.137(13),
36 Kr 76,,424,17 ps,,2+,+0.7(2),,,
36 Kr 77,,0,74.4 m,,5/2+,-0.583(3) d,,,
,,,,,,,,+0.948(10),R
36 Kr 78,,455,17 ps,,2+,+0.86(2),,,
,,,,,,+1.08(10),,,
,,1119,2.6 ps,,4+,+1.8(3),,,
,,1148,3.7 ps,,2+,+1.1(2),,,
36 Kr 79,,0,35.04 h,,1/2-,+0.536(2) d,,,
,,130,50 s,,7/2+,-0.786(2) d,,,
,,,,,,,,+0.404(5),R
,,147,77.7 ns,,5/2-,+1.124(10),,,
,,,,,,,,0.45(3),R
36 Kr 80,,617,8.1 ps,,2+,+0.76(10),,,
,,1257,1.4 ps,,4+,+1.8(6),,,
,,1436,7.6 ps,,2+,+1.3(7),,,
36 Kr 81,,0,2.3 x 10*5 y,,7/2+,-0.908(2) d,,,
,,,,,,-0.909(4),,,
,,,,,,,,+0.644(4),R
,,,,,,,,+0.64(7),
,,,,,,,,+0.629(13),
,,190,13.1 s,,1/2-,+0.586(2) d,,,
36 Kr 82,,777,4.5 ps,,2+,+0.80(4),,,
,,1821,0.7 ps,,4+,+1.2(8),,,
36 Kr 83,,0,stable,,9/2+,-0.970669(3),,,
,,,,,,,,+0.259(1),R
,,,,,,,,+0.26(3),
,,,,,,,,+0.253(5),
,,9,147 ns,,7/2+,-0.943(2),,,
,,,,,,,,+0.507(3),R
,,,,,,,,+0.495(10),
,,42,1.83 h,,1/2-,+0.591(2) d,,,
36 Kr 84,,882,4.1 ps,,2+,+0.54(2),,,
,,3236,1.84 s,,8+,-1.97(2),,,
,,,,,,,,0.36(4),R
,,5373,45 ns,,12+,+2.04(12),,,
,,,,,,+2.0(2),,,
36 Kr 85,,0,10.76 y,,9/2+,-1.005(2) d,,,
,,,,,,1.005(2),,,
,,,,,,-1.0055(4),,,
,,,,,,,,+0.443(3),R
,,,,,,,,+0.440(5),
,,,,,,,,+0.433(8),
,,305,4.48 h,,1/2-,+0.633(2) d,,,
36 Kr 86,,1565,0.26 ps,,2+,+2.2(3),,,
36 Kr 87,,0,76.3 m,,5/2+,-1.023(2) d,,,
,,,,,,,,-0.300(3),R
36 Kr 89,,0,3.15 m,,3/2+,-0.330(3) d,,,
,,,,,,,,+0.166(2),R
36 Kr 91,,0,8.57 s,,5/2+,-0.583(2) d,,,
,,,,,,,,+0.303(3),R
36 Kr 93,,0,1.286 s,,1/2+,-0.413(2) d,,,
36 Kr 94,,666,8.7 ps,,2+,,,-0.5(3),R
36 Kr 95,,0,0.78 s,,1/2+,-0.410(3) d,,,
36 Kr 96,,554,12.4 ps,,2+,,,0.3(9),
37 Rb 76,,0,39 s,,1-,-0.3726228(14),,,
,,,,,,,,+0.46(20),R
37 Rb 77,,0,3.8 m,,3/2-,+0.6544680(16),,,
,,,,,,+0.652(7),,,
,,,,,,,,+0.84(17),R
37 Rb 78,,103,6.3 m,,4-,+2.549(2),,,
,,,,,,+2.56(3),,,
,,,,,,,,+0.99(20),R
37 Rb 79,,0,23 m,,5/2+,+3.3579(12),,,
,,,,,,+3.36(4),,,
,,,,,,,,-0.12(4),R
,,97,18.6 ns,,9/2+,+5.03(7),,,
37 Rb 80,,0,30 s,,1+,-0.0836(6),,,
,,,,,,-0.083(2),,,
,,,,,,,,+0.42(8),R
,,494,1.63 s,,6+,+3.38(2),,,
,,,,,,+3.36(6),,,
,,,,,,,,0.51(5),
37 Rb 81,,0,4.58 h,,3/2-,+2.0595(14),,,
,,,,,,,,+0.48(10),R
,,86,32 m,,9/2+,+5.598(2),,,
,,,,,,,,-0.90(19),R
37 Rb 82,,0,1.25 m,,1+,+0.5545083(11),,,
,,,,,,+0.554(6),,,
,,,,,,,,+0.23(10),R
,,~100,6.47 h,,5-,+1.5100082(2),,,
,,,,,,+1.513(2),,,
,,,,,,+1.51(2),,,
,,,,,,,,+1.2(3),R
,,191,12.3 ns,,6+,+4.02(5),,,
,,3027,0.6 ps,,12-,+13(3),,,
,,3500,0.6 ps,,13-,+13(3),,,
,,4048,0.4 ps,,14-,+12(3),,,
,,4716,<1 ps,,15-,+12(3),,,
37 Rb 83,,0,86.2 d,,5/2-,+1.4249(8),,,
,,,,,,,,+0.24(5),R
37 Rb 84,,0,33 d,,2-,-1.324116(2),,,
,,,,,,-1.325(2),,,
,,,,,,-1.30(1),,,
,,,,,,,,-0.02(4),R
,,,,,,,,+0.005(13),
,,465,20.4 m,,6-,+0.212933(1),,,
,,,,,,,,+0.7(4),R
37 Rb 85,,0,stable,,5/2-,+1.35298(10),,,
,,,,,,+1.3533515(8),,,
,,,,,,+1.353028(3),,,
,,,,,,+1.35302(2),,,
,,,,,,+1.357(1),,,
,,,,,,,,+0.276(1),R
,,,,,,,,+0.277(1),
,,,,,,,,+0.286(1),
,,,,,,,,+0.23(4) st,
,,,,,,,,+0.274(2) st,
,,,,,,,,+0.273(2) st,
,,514,1.02 s,,9/2+,+6.043(5),,,
,,,,,,+6.046(10),,,
,,,,,,+6.16(5),,,
,,,,,,,,-0.9(2),R
,,,,,,,,-0.7(2),
,,2826,12.5 ns,,19/2-,+1.3(4),,,
