nucleus,,energy_level,half_life,,spin,magnetic_dipole_moment,,electric_quadrupole_moment,Recommended
8 O 18,,1982,2.07 ps,,2+,-0.57(3),,,
,,,,,,,,-0.036(9),
,,,,,,,,-0.02(3),
,,,,,,,,-0.010(13) or +.020(13),
,,,,,,,,-0.07(3) or -0.05(3),
,,,,,,,,-0.11(2) or -0.08(2),
,,,,,,,,-0.05(2) or -0.02(2),
,,3555,18 ps,,4+,2.5(4),,,
8 O 19,,0,27 s,,5/2+,1.53195(7),,,
,,,,,,,,0.00362(13),R
,,,,,,,,0.0037(4),
,,96,1.37 s,,3/2+,-0.72(9),,,
8 O 20,,1674,7.4 ps,,2+,0.70(3),,,
,,,,,,-0.78(8),,,
9 F 17,,0,64.5 s,,5/2+,+4.7213(3),,,
,,,,,,+4.7223(12),,,
,,,,,,,,0.076(4),
9 F 18,,937,47 ps,,3+,+1.6(2),,,
,,,,,,+1.77(12),,,
,,,,,,1.7(2),,,
,,1121,153 ns,,5+,+2.86(3),,,
,,,,,,,,0.071(6),R
9 F 19,,0,stable,,1/2+,+2.628868(8),,,
,,197,88.5 ns,,5/2+,+3.607(8),,,
,,,,,,3.595(13),,,
,,,,,,,,0.0942(9),R
,,1346,2.9 ps,,5/2-,0.67(11),,,
9 F 20,,0,11 s,,2+,+2.09335(9),,,
,,,,,,+2.0935(9),,,
,,,,,,,,0.056(4),R
9 F 21,,0,4.16 s,,5/2+,3.9194(12),,,
,,,,,,3.93(5),,,
,,,,,,,,0.11(2),R
9 F 22,,0,4.2 s,,4+,+2.6944(4),,,
,,,,,,,,0.003(2),R
10 Ne 17,,0,109 ms,,1/2-,+0.7873(14),,,
,,,,,,+0.74(3),,,
10 Ne 19,,0,17.3 s,,1/2+,-1.8846(8),,,
,,,,,,-1.88542(8),,,
,,238,17.7 ns,,5/2+,-0.740(8),,,
10 Ne 20,,1634,0.7 ps,,2+,+1.08(8),,,
,,,,,,,,-0.23(3),R
,,4247,64 fs,,4+,+1.5(3),,,
,,,,,,+0.5(6),,,
,,,,,,+1.7(14),,,
,,,,,,-0.4(8),,,
10 Ne 21,,0,stable,,3/2+,-0.661797(5),,,
,,,,,,,,+0.102(8),R
,,,,,,,,+0.103(8),
,,351,7.1 ps,,5/2+,0.49(4),,,
,,,,,,0.70(8),,,
,,,,,,0.9(2),,,
10 Ne 22,,1275,3.6 ps,,2+,+0.65(2),,,
,,,,,,,,-0.19(4),
,,3357,225 fs,,4+,+2.2(6),,,
10 Ne 23,,0,37.6 s,,5/2+,1.0817(9),,,
,,,,,,-1.0795(10),,,
,,,,,,-1.077(4),,,
,,,,,,-1.08(1),,,
,,,,,,,,0.145(13),R
10 Ne 25,,0,0.60 s,,1/2+,-1.0062(5),,,
11 Na 20,,0,0.446 s,,2+,+0.3694(2),,,
,,,,,,,,+0.101(8),R
,,,,,,,,0.103(8),
,,,,,,,,+0.090(10),
,,,,,,,,Q/Q(21Na) = 0.728(9),
11 Na 21,,0,22.5 s,,3/2+,+2.38630(10),,,
,,,,,,,,+0.138(11),R
,,,,,,,,0.140(11),
,,,,,,,,+0.124(14),
,,,,,,,,+0.05(4),
,,332,6.9 ps,,5/2+,3.7(3),,,
11 Na 22,,0,2.60 y,,3+,+1.746(3),,,
,,,,,,,,+0.180(11),R
,,,,,,,,+0.185(11),
,,583,243 ns,,1+,+0.535(10),,,
,,,,,,+0.523(11),,,
,,2212,15.2 ps,,1-,0.36(7),,,
11 Na 23,,0,stable,,3/2+,+2.217522(2),,,
,,,,,,+2.2176556(6),,,
,,,,,,,,+0.104(1),R
,,,,,,,,+0.1045(10),
,,,,,,,,+0.109(3),
,,,,,,,,+0.095(15),
,,,,,,,,+0.104(1),
,,,,,,,,+0.101(2) a,
11 Na 24,,0,15.0 h,,4+,+1.6903(8),,,
,,427,20.2 ms,,1+,-1.931(3),,,
11 Na 25,,0,60 s,,5/2+,+3.683(4),,,
,,,,,,,,0.0015(3),R
,,,,,,,,0.0014(3),
,,,,,,,,-0.10(5),
11 Na 26,,0,1.07 s,,3+,+2.851(2),,,
